;BNP Realveakst i forhold til foregaende periode(pct).;Betalingsbalance i mia.kr(sesonkorrigeret);Bruttoledige Sesonkorrigeret i pct. af arbejdsstyrken + FRED Unemployment rate i DK ;AKU beskeftigelse i 1000 personer  ;Aktieindex  (OMXC ultimo december 1995 = 100);Sammensat konjunkturindikator, i alt, brudkorrigeret;Forbrugertillidsindikatoren;Prisindex for ejendomssalg;Inflation;Imdustrial produktion Index ;Offentlig forbrug ;Privat forbrug ;Sesonkorrigeret detailomsetningverdiindeks;Long-Term Government Bond Yields: 10-year;Diskkontoen;Import;Export;TOT Erhverv i alt;2 Industri, rastofindvinding og forsyningsvirksomhed;3 Bygge og anleg;4 Handel og transport mv.;5 Information og kommunikation;6 Finansiering og forsikring;7 Ejendomshandel og udlejning;8 Erhvervsservice;O3 Undervisning og sundhed mv.;10 Kultur, fritid og anden service
01.2008;0;5,9;2,9;2798;392;-2;-1,1;-0,5;0,3;-0,3;1,0;0,9;107,5;4,148600;4,7199;47048,3;51735,3;0;0;0;0;0;0;0;0;0;0
02.2008;0;4,6;2,7;2800;411;-10;-2,5;-0,5;1;-0,3;1,0;0,9;108,3;4,081900;4,6148;45657,4;50302,9;0;0;0;0;0;0;0;0;0;0
03.2008;0;2,3;2,6;2807;406;-12;-1,3;1,4;0,6;-0,2;1,0;0,9;106;4,037200;4,8007;47002,4;49163,5;4,4;4,4;5,2;4,2;4,4;4,3;3,7;4,5;5,7;3,1
04.2008;-0,9;4,7;2,5;2819;408;-11;-3,1;-0,2;0,3;-0,8;2,0;0,9;108,7;4,285000;4,9955;48512;51588,5;0;0;0;0;0;0;0;0;0;0
05.2008;-0,9;5,2;2,4;2817;428;-10;-3,5;0,6;0,4;-0,6;2,0;0,9;108,1;4,415400;5,1507;45782,9;50153;0;0;0;0;0;0;0;0;0;0
06.2008;-0,9;4,8;2,4;2797;395;-14;-6,6;-0,1;0,3;-0,2;2,0;0,9;106,4;4,824200;5,3286;48201,8;50480,2;4,6;4,5;4,7;4,8;4,6;4,3;4,4;4,6;5,6;3,6
07.2008;-0,6;2,1;2,5;2796;385;-11;-9,7;-1,5;-0,3;-0,5;2,5;-0,2;105,5;4,777100;5,3789;46341,3;49847,2;0;0;0;0;0;0;0;0;0;0
08.2008;-0,6;4;2,5;2806;388;-19;-12,2;-1,3;0,2;-1,5;2,5;-0,2;105,2;4,485500;5,3833;45824,1;48934,2;0;0;0;0;0;0;0;0;0;0
09.2008;-0,6;7,6;2,6;2824;324;-22;-11,1;-1,5;0,4;-4,3;2,5;-0,2;105,2;4,372800;5,4176;47330,1;50900,2;4,5;4,3;4,5;4,6;4,2;5,5;5,2;4,4;4,5;3,8
10.2008;-2,4;2,8;2,7;2830;265;-21;-16,6;-3,8;-0,2;1,0;1,7;-3,3;104;4,392900;5,9903;46273,3;48248;0;0;0;0;0;0;0;0;0;0
11.2008;-2,4;6,3;2,9;2817;242;-28;-11,5;-2,8;-0,2;-1,3;1,7;-3,3;103,1;4,056700;6,0757;42737,5;43245,9;0;0;0;0;0;0;0;0;0;0
12.2008;-2,4;1,2;3,1;2807;228;-33;-13,5;-3,6;-0,4;-2,9;1,7;-3,3;101,7;3,499800;5,3699;41736,2;43879,6;4,2;3,7;4;4,2;4,2;5,6;2,4;4,2;4,8;3,2
01.2009;-1,4;2,9;3,4;2792;236;-41;-9,1;-1,8;-0,4;-2,4;1,4;-1,3;102,6;3,442000;4,4204;41324,6;41321,7;0;0;0;0;0;0;0;0;0;0
02.2009;-1,4;6,1;3,7;2776;217;-42;-11,3;-1;1;-0,6;1,4;-1,3;102,3;3,550200;3,8595;37100,4;40755;0;0;0;0;0;0;0;0;0;0
03.2009;-1,4;6,9;4,1;2744;207;-41;-11,7;0,5;0,4;-1,6;1,4;-1,3;101,9;3,440000;3,2773;34460,4;40013,1;4,2;3,8;3,8;4,4;4,1;5;1,6;4,2;4,3;4
04.2009;-1,9;5,7;4,5;2738;245;-42;-4,4;0;-0,1;-0,8;1,3;1,4;101,8;3,499500;2,9361;35974,4;40161,5;0;0;0;0;0;0;0;0;0;0
05.2009;-1,9;6;4,7;2733;262;-31;-4,7;-0,2;0,3;-1,0;1,3;1,4;101,5;3,615600;2,6695;33893,5;39732,6;0;0;0;0;0;0;0;0;0;0
06.2009;-1,9;5,2;5;2742;259;-26;-5,5;1,6;0,2;-0,4;1,3;1,4;102,1;3,755700;2,3308;35340,6;41636,9;3;2,7;2,5;2,9;3,5;5;1,9;3,2;2,7;3,7
07.2009;0,3;5,2;5;2719;276;-18;-3,2;-0,6;-0,5;1,1;1,2;0,9;103;3,736200;2,0642;34044,9;41014,3;0;0;0;0;0;0;0;0;0;0
08.2009;0,3;5,2;5,2;2711;296;-18;-2,6;0,8;0,3;1,1;1,2;0,9;101,2;3,602400;1,9380;35761,7;41104;0;0;0;0;0;0;0;0;0;0
09.2009;0,3;1;5,4;2688;298;-17;-1,1;0;0,1;0,8;1,2;0,9;100,9;3,646100;1,7625;34532,5;41159,3;2,8;2,7;1,7;3,1;3,2;4,8;1,5;3;2,4;3
10.2009;0,1;1,7;5,6;2678;289;-16;-0,9;-0,5;0,1;0,3;1,1;-0,3;101,9;3,595600;1,5828;36887,9;39668,6;0;0;0;0;0;0;0;0;0;0
11.2009;0,1;9,2;5,7;2669;293;-12;-2,4;-0,3;0;0,4;1,1;-0,3;100,3;3,622100;1,5587;35451,4;44495,6;0;0;0;0;0;0;0;0;0;0
12.2009;0,1;6,4;5,7;2668;301;-10;-3,6;0,1;-0,3;0,3;1,1;-0,3;101,3;3,529500;1,5521;33744,2;41906,3;2,3;2,5;0,8;2,3;2,9;4,4;2,6;2,3;1,4;3
01.2010;0,9;8,1;5,9;2658;320;-6;1,1;-0,3;0,3;1,2;1,0;2,2;100,5;3,568400;1,4587;35870,3;41033,2;0;0;0;0;0;0;0;0;0;0
02.2010;0,9;8,7;6;2661;319;-5;1,8;0,6;1;0,4;1,0;2,2;100,7;3,496300;1,3927;36321,3;42055;0;0;0;0;0;0;0;0;0;0
03.2010;0,9;11,7;6,1;2660;340;-1;-1;1,1;0,6;0,7;1,0;2,2;101,5;3,399700;1,3717;35965,8;45136,7;2,6;2,8;1,4;2,4;3,4;4,5;3,5;1,9;1,7;3,8
04.2010;0,7;10,9;6;2659;360;-4;4,2;0,9;0,2;0,4;0,5;-0,4;101,5;3,342800;1,2835;37140,2;44217,3;0;0;0;0;0;0;0;0;0;0
05.2010;0,7;6,9;6;2669;342;-3;3;1,3;0;1,5;0,5;-0,4;101,6;2,928200;1,2520;42046,8;45546,9;0;0;0;0;0;0;0;0;0;0
06.2010;0,7;9,1;6,1;2662;344;-4;-1,5;-0,3;-0,2;0,1;0,5;-0,4;101,6;2,701300;1,1520;39493;44137;2,2;2,5;1,2;1,8;3,4;4,2;2,6;2;1,3;3
07.2010;1,6;9,9;6,1;2671;356;-3;4,1;0,9;0;0,4;-0,1;1,3;101,9;2,715800;1,1341;39547;47088,6;0;0;0;0;0;0;0;0;0;0
08.2010;1,6;9,9;6,2;2662;343;-5;4,4;-1,5;0,4;0,3;-0,1;1,3;101,4;2,445700;1,1451;38076,7;44345;0;0;0;0;0;0;0;0;0;0
09.2010;1,6;11,2;6,1;2667;361;-2;2,3;0,8;0,4;0,2;-0,1;1,3;101,5;2,395300;1,1460;39495,3;46821,4;2,3;2,5;1,7;1,6;3,2;4,1;2,9;2,4;1,4;3,4
10.2010;-0,2;10,4;6,1;2658;369;-7;0,6;1;-0,2;-0,3;-0,4;0,6;101,7;2,455600;1,1913;39224,7;45588,6;0;0;0;0;0;0;0;0;0;0
11.2010;-0,2;12,7;6;2663;370;-13;3,6;-1,7;0,1;0,0;-0,4;0,6;101,2;2,651600;1,2388;40098,4;46752,8;0;0;0;0;0;0;0;0;0;0
12.2010;-0,2;9,3;6,1;2666;395;-11;-0,7;-0,9;0,1;1,0;-0,4;0,6;101,4;3,012000;1,2117;39810,6;45640,9;2,2;2,4;2;1,3;3;3,9;2,6;2,4;1,6;3,4
01.2011;0,2;15;6,1;2659;399;-4;3,3;-1,7;0,1;-0,1;-0,4;0,4;101,6;3,051900;1,2161;41090,9;51633,6;0;0;0;0;0;0;0;0;0;0
02.2011;0,2;11,6;6;2659;405;-5;-0,5;1,5;0,9;-0,4;-0,4;0,4;101,5;3,230000;1,2398;41172,7;49202,5;0;0;0;0;0;0;0;0;0;0
03.2011;0,2;11,5;6;2658;395;-6;-0,8;0,7;0,6;1,0;-0,4;0,4;101,3;3,289000;1,3074;41501,3;50899,4;1,9;2,4;0,9;1,5;2,2;4;3,3;1,7;1,3;1,4
04.2011;1;10,5;5,9;2669;394;-1;2;0,4;0,5;-0,4;0,7;1,3;102,6;3,415600;1,4083;42212,1;49906,5;0;0;0;0;0;0;0;0;0;0
05.2011;1;8,1;6;2675;390;2;2,6;0;0,1;0,2;0,7;1,3;101;3,131400;1,4570;44864,9;50544,3;0;0;0;0;0;0;0;0;0;0
06.2011;1;9,6;6;2671;367;-5;3;-1,2;-0,2;0,3;0,7;1,3;100,6;2,958400;1,5136;42632,9;49582,7;1,8;2,1;0,6;1,9;2,2;4,9;1,8;1;0,9;0,9
07.2011;-1,2;7,1;6;2673;357;-3;-0,6;-0,3;-0,1;0,5;-1,4;0,1;100,5;3,015700;1,6625;43875,1;49607,5;0;0;0;0;0;0;0;0;0;0
08.2011;-1,2;9;6;2668;309;-5;-2,2;-2,8;0;0,6;-1,4;0,1;100,9;2,494300;1,6041;43289,3;50739,7;0;0;0;0;0;0;0;0;0;0
09.2011;-1,2;9;5,9;2666;298;-9;-3,6;0,1;0,3;0,0;-1,4;0,1;101;2,070900;1,4366;42929,8;48532,1;1,7;2,2;0,4;1,7;2,4;1,9;1,6;1,7;0,9;0,5
10.2011;0,8;8,9;5,9;2651;310;-9;-6,6;-1,4;0,2;0,7;-0,4;0,7;100,5;2,232400;1,3974;42540,2;49983,5;0;0;0;0;0;0;0;0;0;0
11.2011;0,8;10,2;5,8;2646;323;-8;-9,2;-0,6;-0,1;-0,1;-0,4;0,7;100,3;2,005500;1,2877;43073,6;50057,4;0;0;0;0;0;0;0;0;0;0
12.2011;0,8;10,3;5,8;2648;325;-5;-9,8;-1,8;0;0,6;-0,4;0,7;101,3;1,857100;1,0837;44844,4;51946,7;1,9;2,5;1;2,4;2,4;1,9;1,5;1,9;0,2;-0,3
01.2012;-0,1;9,1;5,9;2645;344;-4;-7;1,3;0,4;0,6;1,7;1,3;101,2;1,734500;1,0069;41549,6;50407,7;0;0;0;0;0;0;0;0;0;0
02.2012;-0,1;9;6;2644;377;1;-4,8;0,1;0,9;0,2;1,7;1,3;100;1,843800;1,0007;43529,7;50784,9;0;0;0;0;0;0;0;0;0;0
03.2012;-0,1;5,2;6,1;2633;370;-7;-0,4;-0,7;0,6;-0,5;1,7;1,3;102,3;1,886800;0,9878;42845,1;48560,5;1,8;2,1;1,7;1,8;2,3;1,8;0,3;2,2;1,1;-0,5
04.2012;0,1;10,9;6,2;2639;379;-5;0,6;1,7;0;0,8;0,7;0,8;100;1,714100;0,9652;44127,9;51643,2;0;0;0;0;0;0;0;0;0;0
05.2012;0,1;11,6;6,2;2647;357;-9;-0,4;-0,8;0;0,2;0,7;0,8;100,5;1,368900;0,9009;45524,5;52354,2;0;0;0;0;0;0;0;0;0;0
06.2012;0,1;12,8;6,2;2655;366;-9;-2,6;0,4;-0,1;0,0;0,7;0,8;100,2;1,255000;0,6214;43964,1;51832;1,5;2;1,3;1,3;1,6;0,8;1;2,3;0,9;0,4
07.2012;0,1;12,2;6,1;2646;393;-4;0,1;0,5;-0,1;0,3;1,1;0,1;99,5;1,100500;0,4068;43256;52002,1;0;0;0;0;0;0;0;0;0;0
08.2012;0,1;10,8;6,1;2640;397;-8;0;0,1;0,4;-0,5;1,1;0,1;99,6;1,148700;0,3124;45174,4;52593,1;0;0;0;0;0;0;0;0;0;0
09.2012;0,1;8,5;6,1;2641;402;-9;-2,2;-1,1;0,3;0,0;1,1;0,1;100,8;1,309500;0,3217;43768,9;49350,8;1,4;1,6;1,4;1,4;1,4;2,1;0,3;1,3;0,7;0,6
10.2012;-0,2;10,5;6;2651;395;-15;-5,5;0,9;-0,1;0,2;1,3;0,4;99,9;1,292200;0,3345;44724,9;52037,2;0;0;0;0;0;0;0;0;0;0
11.2012;-0,2;10,9;6;2658;400;-8;-1,3;0,1;-0,1;0,5;1,3;0,4;99,6;1,112700;0,3009;43899,1;52369,8;0;0;0;0;0;0;0;0;0;0
12.2012;-0,2;9,1;6;2643;404;-10;-4,7;-1,2;-0,4;0,4;1,3;0,4;100;1,070000;0,2771;46308,8;51185,5;1,4;1,8;0,5;1,2;1,4;2,2;1,1;1,7;0,4;1,1
01.2013;0,6;12,4;5,9;2636;433;-5;-2,7;0,4;-0,5;-0,1;-2,7;0,4;98,7;1,610000;0,3051;45588,7;52390;0;0;0;0;0;0;0;0;0;0
02.2013;0,6;12;5,9;2637;443;-6;-2;1,7;1,1;0,6;-2,7;0,4;99,4;1,730000;0,3285;44598;50413,7;0;0;0;0;0;0;0;0;0;0
03.2013;0,6;10,6;5,9;2645;440;-4;-2,1;0,6;0,2;0,4;-2,7;0,4;98,1;1,590000;0,2743;45441,5;50740;1,3;1,5;0,5;1;1,5;2,1;1,1;1,5;0,6;1,3
04.2013;0,1;10,4;6;2635;440;-13;-2,8;0,7;-0,2;-0,2;0,7;0,0;98,2;1,420000;0,2600;45285,5;51508,3;0;0;0;0;0;0;0;0;0;0
05.2013;0,1;12,6;5,8;2634;442;-14;-2,6;0,1;0,2;0,1;0,7;0,0;99,1;1,450000;0,2403;44880,2;51459,4;0;0;0;0;0;0;0;0;0;0
06.2013;0,1;14,2;5,8;2635;424;-6;3,4;1,5;-0,2;0,2;0,7;0,0;99,5;1,720000;0,2582;44200,2;50118,4;1,3;1,7;0,5;1,1;2,1;1,9;1;1,1;0,5;0,9
07.2013;0,6;11,8;5,7;2640;452;-11;3,7;-1,1;-0,3;-0,4;0,6;0,3;98,8;1,770000;0,2684;46182,7;52082,6;0;0;0;0;0;0;0;0;0;0
08.2013;0,6;12,4;5,7;2647;458;-10;5,9;0,2;0,1;0,7;0,6;0,3;98,7;1,940000;0,2681;47563,7;51953,2;0;0;0;0;0;0;0;0;0;0
09.2013;0,6;13,9;5,6;2646;474;-2;4,7;-1,4;0,3;0,5;0,6;0,3;98,6;2,100000;0,2711;46363,5;52730,6;1,1;1,8;0,4;0,7;1,9;1,5;0,9;1,1;1,3;0,3
10.2013;0,2;17,5;5,6;2634;486;-2;4,6;2,7;0,2;-0,2;1,1;0,4;97,5;1,930000;0,2730;44064,5;53868;0;0;0;0;0;0;0;0;0;0
11.2013;0,2;11,2;5,6;2635;504;0;4;-2,7;-0,3;0,3;1,1;0,4;97,9;1,800000;0,2536;45766;51867,3;0;0;0;0;0;0;0;0;0;0
12.2013;0,2;11,3;5,6;2626;517;-7;2,9;0,3;-0,1;0,3;1,1;0,4;98,5;1,890000;0,2585;47373,8;51704,7;1,2;1,5;0,8;0,8;1,7;1;0,6;1,5;1,2;0,6
01.2014;0,3;15,4;5,2;2634;540;3;6,3;1,4;-0,2;-0,4;-0,1;0,0;98;1,860000;0,2800;45218,8;51545,9;0;0;0;0;0;0;0;0;0;0
02.2014;0,3;13,6;5,2;2629;595;-2;4,2;0,5;0,6;0,8;-0,1;0,0;99,2;1,670000;0,2700;47015,9;53086,8;0;0;0;0;0;0;0;0;0;0
03.2014;0,3;11,8;5,1;2644;583;4;5;-0,3;0,1;1,0;-0,1;0,0;98,9;1,610000;0,2900;43643,7;49564;1,1;1,5;0,4;0,8;1,4;1,1;1,2;1,7;0,8;0,8
